service_id,date,exception_type
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250605,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250606,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250606,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250606,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250609,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250609,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250609,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250610,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250610,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250610,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250611,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250611,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250611,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250612,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250612,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250612,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250613,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250613,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250613,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250616,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250616,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250616,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250617,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250617,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250617,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250618,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250618,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250618,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250619,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250619,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250619,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250620,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250620,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250620,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250623,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250623,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250623,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250624,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250624,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250624,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250625,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250625,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250625,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250626,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250626,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250626,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250627,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250627,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250627,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250630,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250630,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250630,1
