trans_id,lang,translation,category,station_sid,course_sid
沼田ＰＡ,zh-ch,沼田PA（高速）,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
沼田ＰＡ,zh-tw,沼田PA（高速）,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
五日市落合,en,Itsukaichi Ochiai,stop_name,f5e56986-efde-496d-a955-59a77557ffd1,
五日市落合,ko,이쓰카이치 오치아이,stop_name,f5e56986-efde-496d-a955-59a77557ffd1,
五日市落合,zh-ch,五日市落合,stop_name,f5e56986-efde-496d-a955-59a77557ffd1,
五日市落合,zh-tw,五日市落合,stop_name,f5e56986-efde-496d-a955-59a77557ffd1,
江波西一丁目,en,Eba-nishi-itchome (Eba-nishi 1),stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
江波西一丁目,ko,에바 니시 1초메,stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
江波西一丁目,zh-ch,江波西一丁目,stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
江波西一丁目,zh-tw,江波西一丁目,stop_name,c69e7efb-9f08-4d99-8d2b-a94082ae6daf,
廿日市市役所前駅,en,Hatsukaichi Shiyakusho-mae Sta. (Hatsukaichi City Hall Sta.),stop_name,260144df-4f82-4bbc-9139-6e80bd4af5fa,
廿日市市役所前駅,ko,하쓰카이치 시야쿠쇼 마에 역,stop_name,260144df-4f82-4bbc-9139-6e80bd4af5fa,
廿日市市役所前駅,zh-ch,廿日市市政府前站,stop_name,260144df-4f82-4bbc-9139-6e80bd4af5fa,
廿日市市役所前駅,zh-tw,廿日市市政府前站,stop_name,260144df-4f82-4bbc-9139-6e80bd4af5fa,
神賀橋,en,Jingabashi,stop_name,8b6bc732-8028-4416-bcd5-a58aaf6c3f19,
神賀橋,ko,진가바시,stop_name,8b6bc732-8028-4416-bcd5-a58aaf6c3f19,
神賀橋,zh-ch,神贺桥,stop_name,8b6bc732-8028-4416-bcd5-a58aaf6c3f19,
神賀橋,zh-tw,神賀橋,stop_name,8b6bc732-8028-4416-bcd5-a58aaf6c3f19,
宮原２丁目,en,Miyahara-nichome (Miyahara 2),stop_name,de0cd77e-e93c-4e7d-921c-06feaa20db2d,
宮原２丁目,ko,미야하라 2초메,stop_name,de0cd77e-e93c-4e7d-921c-06feaa20db2d,
宮原２丁目,zh-ch,宫原2丁目,stop_name,de0cd77e-e93c-4e7d-921c-06feaa20db2d,
宮原２丁目,zh-tw,宮原2丁目,stop_name,de0cd77e-e93c-4e7d-921c-06feaa20db2d,
こころゆきやなぎ公園,en,Kokoro Yukiyanagi Koen (Kokoro Yukiyanagi Park),stop_name,e32702d5-9f73-4447-95c3-81347ceb067e,
こころゆきやなぎ公園,ko,고코로 유키야나기 공원,stop_name,e32702d5-9f73-4447-95c3-81347ceb067e,
こころゆきやなぎ公園,zh-ch,COCORO珍珠花公园,stop_name,e32702d5-9f73-4447-95c3-81347ceb067e,
こころゆきやなぎ公園,zh-tw,COCORO珍珠花公園,stop_name,e32702d5-9f73-4447-95c3-81347ceb067e,
都志見,en,Tsushimi,stop_name,2fd15156-852f-44c0-beeb-d97c4baa3661,
都志見,ko,쓰시미,stop_name,2fd15156-852f-44c0-beeb-d97c4baa3661,
都志見,zh-ch,都志见,stop_name,2fd15156-852f-44c0-beeb-d97c4baa3661,
都志見,zh-tw,都誌見,stop_name,2fd15156-852f-44c0-beeb-d97c4baa3661,
観音新町三丁目,en,Kanon-shinmachi-sanchome (Kanon-shinmachi 3),stop_name,872724e4-a8e8-4174-9ac1-3e6514084434,
観音新町三丁目,ko,간온 신마치 3초메,stop_name,872724e4-a8e8-4174-9ac1-3e6514084434,
観音新町三丁目,zh-ch,观音新町三丁目,stop_name,872724e4-a8e8-4174-9ac1-3e6514084434,
観音新町三丁目,zh-tw,觀音新町三丁目,stop_name,872724e4-a8e8-4174-9ac1-3e6514084434,
田中町,en,Tanakamachi,stop_name,0070f43a-c399-4977-963d-1bc94a2b2a64,
田中町,ko,다나카마치,stop_name,0070f43a-c399-4977-963d-1bc94a2b2a64,
田中町,zh-ch,田中町,stop_name,0070f43a-c399-4977-963d-1bc94a2b2a64,
田中町,zh-tw,田中町,stop_name,0070f43a-c399-4977-963d-1bc94a2b2a64,
馬橋,en,Mabashi,stop_name,53942019-6b04-425d-9318-964d7e089f04,
馬橋,ko,마바시（마바시 다리),stop_name,53942019-6b04-425d-9318-964d7e089f04,
馬橋,zh-ch,马桥,stop_name,53942019-6b04-425d-9318-964d7e089f04,
馬橋,zh-tw,馬橋,stop_name,53942019-6b04-425d-9318-964d7e089f04,
矢野出張所,ja,矢野出張所,stop_name,045314e7-ff2b-4a21-883e-af42615bdfe5,
矢野出張所,ja-Hrkt,やのしゅっちょうしょ,stop_name,045314e7-ff2b-4a21-883e-af42615bdfe5,
天応福浦・天応桟橋,en,Tenno Fukuura/Tenno Sambashi,stop_name,4cf22f0b-91e4-4c78-8551-a39f1669c32a,
天応福浦・天応桟橋,ko,덴노 후쿠우라·덴노 산바시,stop_name,4cf22f0b-91e4-4c78-8551-a39f1669c32a,
天応福浦・天応桟橋,zh-ch,天应福浦・天应栈桥,stop_name,4cf22f0b-91e4-4c78-8551-a39f1669c32a,
天応福浦・天応桟橋,zh-tw,天應福浦・天應棧橋,stop_name,4cf22f0b-91e4-4c78-8551-a39f1669c32a,
飯室,en,Imuro,stop_name,9a8b805b-946c-4cc5-8f48-d11b91f5b049,
飯室,ko,이무로,stop_name,9a8b805b-946c-4cc5-8f48-d11b91f5b049,
飯室,zh-ch,饭室,stop_name,9a8b805b-946c-4cc5-8f48-d11b91f5b049,
飯室,zh-tw,飯室,stop_name,9a8b805b-946c-4cc5-8f48-d11b91f5b049,
本浦入口,en,Honura-iriguchi,stop_name,b4e04d52-e853-4d5b-b1ef-88a348f6af95,
本浦入口,ko,혼우라 이리구치,stop_name,b4e04d52-e853-4d5b-b1ef-88a348f6af95,
本浦入口,zh-ch,本浦入口,stop_name,b4e04d52-e853-4d5b-b1ef-88a348f6af95,
本浦入口,zh-tw,本浦入口,stop_name,b4e04d52-e853-4d5b-b1ef-88a348f6af95,
波出石,en,Hadeishi,stop_name,9a6b2e53-1b62-4b47-922b-bae111cf7489,
波出石,ko,하데이시,stop_name,9a6b2e53-1b62-4b47-922b-bae111cf7489,
波出石,zh-ch,波出石,stop_name,9a6b2e53-1b62-4b47-922b-bae111cf7489,
波出石,zh-tw,波出石,stop_name,9a6b2e53-1b62-4b47-922b-bae111cf7489,
弁天橋,en,Bentembashi,stop_name,38744896-d39f-45f5-91c7-aa8493e10c23,
弁天橋,ko,벤텐바시,stop_name,38744896-d39f-45f5-91c7-aa8493e10c23,
弁天橋,zh-ch,弁天桥,stop_name,38744896-d39f-45f5-91c7-aa8493e10c23,
弁天橋,zh-tw,弁天橋,stop_name,38744896-d39f-45f5-91c7-aa8493e10c23,
コベルコ五日市工場,en,Kobelco Itsukaichi Kojo,stop_name,bc65e85e-fa5f-4304-b76e-9074f16a4e6d,
コベルコ五日市工場,ko,고베루코 이쓰카이치 코조,stop_name,bc65e85e-fa5f-4304-b76e-9074f16a4e6d,
コベルコ五日市工場,zh-ch,神钢五日市工场,stop_name,bc65e85e-fa5f-4304-b76e-9074f16a4e6d,
コベルコ五日市工場,zh-tw,神鋼五日市工場,stop_name,bc65e85e-fa5f-4304-b76e-9074f16a4e6d,
江波南一丁目,en,Eba-minami-itchome(Eba-minami 1),stop_name,f9739c66-c426-47f4-b451-3b934fb3be4b,
江波南一丁目,ko,에바 미나미 1초메,stop_name,f9739c66-c426-47f4-b451-3b934fb3be4b,
